Seed,Fitness,ACC ALL-AML_test MLP,ACC ALL-AML_test RF,ACC ALL-AML_test SVM,ACC ALL-AML_train MLP,ACC ALL-AML_train RF,ACC ALL-AML_train SVM
1,-0.5119,0.8182,0.7273,0.6061,1.0,1.0,0.8158
2,-0.5119,0.7879,0.697,0.6364,0.9211,1.0,0.8158
3,-0.5126,0.8485,0.7879,0.6061,1.0,1.0,0.8158
4,-0.5112,0.8485,0.8182,0.6364,0.9737,1.0,0.8158
5,-0.5112,0.8485,0.7879,0.7273,1.0,1.0,0.8158
6,-0.5122,0.8485,0.7879,0.5758,0.9474,1.0,0.8158
7,-0.5115,0.7273,0.7576,0.6667,0.9211,1.0,0.8158
8,-0.5116,0.8485,0.8182,0.7273,1.0,1.0,0.8158
9,-0.5114,0.8788,0.7576,0.6364,1.0,1.0,0.8158
10,-0.5103,0.7273,0.7576,0.5758,0.9737,1.0,0.8158
Mejor,-0.5126,0.7273,0.697,0.5758,0.9211,1.0,0.8158
Peor,-0.5103,0.8788,0.8182,0.7273,1.0,1.0,0.8158
Promedio,-0.5116,0.8182,0.7697,0.6394,0.9737,1.0,0.8158
Desviación típica,0.0006,0.0534,0.0383,0.0543,0.0328,0.0,0.0
