x,y
0.344545,0.24337
0.698927,0.803603
0.0879917,0.121807
0.689751,0.801558
0.642911,0.647847
0.201366,0.0571826
0.705046,0.596083
0.544912,0.650889
0.244959,0.194309
0.209006,0.406624
0.568686,0.633684
0.325125,0.333204
0.631172,0.754983
0.0879917,0.121807
0.314628,0.171567
0.248605,0.4679
0.808308,0.767148
0.401941,0.422645
0.458481,0.0713299
0.124386,0.145077
0.586,0.56329
0.731173,0.715029
0.314284,0.168374
0.764859,0.711907
0.20245,0.306543
0.363089,0.273453
0.353726,0.403778
0.860134,0.847101
0.314284,0.168374
0.0879917,0.121807
