Fecha,NO,NO2,SO2,O3,NOX,C6H6,C7H8,XIL,PM10,Ruido
1 ene. 2017 00:01,5.0,30.0,15.0,43.0,37.0,,,,26.0,
1 ene. 2017 01:01,4.0,27.0,12.0,41.0,34.0,,,,25.0,
1 ene. 2017 02:01,5.0,25.0,14.0,39.0,33.0,,,,21.0,
1 ene. 2017 03:01,3.0,16.0,15.0,43.0,21.0,,,,18.0,
1 ene. 2017 04:01,4.0,15.0,14.0,46.0,22.0,,,,16.0,
1 ene. 2017 05:01,5.0,13.0,11.0,46.0,20.0,,,,17.0,
1 ene. 2017 06:01,4.0,12.0,11.0,49.0,18.0,,,,15.0,
1 ene. 2017 07:01,3.0,11.0,13.0,54.0,16.0,,,,14.0,
1 ene. 2017 08:01,4.0,11.0,11.0,54.0,17.0,,,,13.0,
1 ene. 2017 09:01,5.0,11.0,11.0,56.0,19.0,,,,15.0,
1 ene. 2017 10:01,5.0,11.0,10.0,57.0,18.0,,,,16.0,
1 ene. 2017 11:01,6.0,14.0,15.0,56.0,22.0,,,,19.0,
1 ene. 2017 12:01,6.0,16.0,17.0,56.0,24.0,,,,17.0,
1 ene. 2017 13:01,10.0,19.0,11.0,57.0,33.0,,,,19.0,
1 ene. 2017 14:01,6.0,18.0,10.0,67.0,28.0,,,,16.0,
1 ene. 2017 15:01,5.0,16.0,9.0,69.0,23.0,,,,19.0,
1 ene. 2017 16:01,6.0,16.0,10.0,79.0,25.0,,,,10.0,
1 ene. 2017 17:01,5.0,15.0,7.0,81.0,23.0,,,,13.0,
1 ene. 2017 18:01,4.0,28.0,8.0,66.0,35.0,,,,29.0,
1 ene. 2017 19:01,8.0,59.0,11.0,47.0,72.0,,,,36.0,
1 ene. 2017 20:01,7.0,79.0,11.0,36.0,90.0,,,,38.0,
1 ene. 2017 21:01,8.0,94.0,13.0,19.0,108.0,,,,45.0,
1 ene. 2017 22:01,9.0,63.0,9.0,29.0,76.0,,,,35.0,
1 ene. 2017 23:01,5.0,53.0,7.0,24.0,60.0,,,,26.0,
2 ene. 2017 00:01,3.0,21.0,6.0,53.0,26.0,,,,16.0,
2 ene. 2017 01:01,5.0,22.0,11.0,46.0,29.0,,,,17.0,
2 ene. 2017 02:01,5.0,26.0,13.0,33.0,33.0,,,,18.0,
2 ene. 2017 03:01,4.0,22.0,12.0,35.0,28.0,,,,16.0,
2 ene. 2017 04:01,3.0,21.0,10.0,40.0,26.0,,,,17.0,
2 ene. 2017 05:01,3.0,17.0,11.0,40.0,22.0,,,,12.0,
2 ene. 2017 06:01,4.0,16.0,12.0,40.0,22.0,,,,12.0,
2 ene. 2017 07:01,3.0,17.0,11.0,43.0,23.0,,,,13.0,
2 ene. 2017 08:01,4.0,22.0,10.0,42.0,28.0,,,,17.0,
2 ene. 2017 09:01,7.0,29.0,9.0,42.0,39.0,,,,20.0,
2 ene. 2017 10:01,10.0,23.0,10.0,43.0,38.0,,,,30.0,
2 ene. 2017 11:01,6.0,26.0,9.0,42.0,36.0,,,,23.0,
2 ene. 2017 12:01,8.0,27.0,11.0,40.0,40.0,,,,22.0,
2 ene. 2017 13:01,10.0,31.0,12.0,45.0,46.0,,,,27.0,
2 ene. 2017 14:01,6.0,21.0,13.0,66.0,31.0,,,,17.0,
2 ene. 2017 15:01,5.0,24.0,12.0,70.0,31.0,,,,20.0,
2 ene. 2017 16:01,3.0,23.0,12.0,79.0,28.0,,,,18.0,
2 ene. 2017 17:01,4.0,24.0,13.0,81.0,30.0,,,,21.0,
2 ene. 2017 18:01,7.0,36.0,13.0,62.0,46.0,,,,37.0,
2 ene. 2017 19:01,19.0,99.0,12.0,26.0,128.0,,,,48.0,
2 ene. 2017 20:01,43.0,127.0,15.0,4.0,193.0,,,,73.0,
2 ene. 2017 21:01,24.0,97.0,17.0,8.0,134.0,,,,58.0,
2 ene. 2017 22:01,15.0,84.0,11.0,9.0,108.0,,,,39.0,
2 ene. 2017 23:01,11.0,75.0,7.0,14.0,92.0,,,,33.0,
3 ene. 2017 00:01,6.0,40.0,6.0,38.0,49.0,,,,30.0,
3 ene. 2017 01:01,4.0,41.0,10.0,33.0,47.0,,,,32.0,
3 ene. 2017 02:01,4.0,33.0,14.0,38.0,40.0,,,,25.0,
3 ene. 2017 03:01,5.0,25.0,14.0,35.0,32.0,,,,20.0,
3 ene. 2017 04:01,3.0,24.0,13.0,37.0,28.0,,,,20.0,
3 ene. 2017 05:01,4.0,20.0,10.0,40.0,27.0,,,,16.0,
3 ene. 2017 06:01,4.0,20.0,11.0,34.0,25.0,,,,14.0,
3 ene. 2017 07:01,5.0,20.0,11.0,34.0,27.0,,,,14.0,
3 ene. 2017 08:01,30.0,55.0,13.0,30.0,101.0,,,,19.0,
3 ene. 2017 09:01,28.0,75.0,10.0,19.0,117.0,,,,46.0,
